test,sentiment,company
Changes are extremely high than standard.  3rd grade level security. ,,b
Its not good,,b
its good. ,,b
Its good,,b
Good,,b
It is good.,,b
Charge little bit high but other service is good.  ,,b
Nothing ,,b
It's quite good.,,b
It'sgreat  ,,b
Bkash security aren't that much secure.& the charge cost are quit increasing when a persontry to send a lot of money then they need to pay quite much amount of service charge.    ,,b
Good,,b
"Good system it but service charge is not gd,1000 tk they cute there service charge 18 tk.when it service charge 10/12 tk this is good for customers ",,b
Excess service charge ,,b
Its every service system is good .,,b
It's service charge is more than other mobile financial service provider in Bangladesh. If it is less then it will be better for customer.,,b
High Costing in service charge,,b
Bkash is reliable ,,b
It is very secure. Bkash app is very friendly for user. Some features of Bkash is very helpful such as money transfer from card to bkash. It needs some improvement also. ,,b
Good,,b
i have no bkash,,b
it is not good because service charge is high,,b
"Customer service,  security,  availability  both are fine. But service charge is expensive. ",,b
Service charge is too  much,,b
Convenient & Helpful,,b
No,,b
Very good service but I think cashout charge should be less.,,b
Not so good but works .,,b
No idea,,b
Its really fantastic ,,b
Its really fantastic. ,,b
i don't have any accaount ,,b
Everything is fine without the charged amount. It should be less,,b
yes,,b
not good,,b
"Service is good but security is not secure, service charge is also high ",,b
Charge is very heavy,,b
Bad.Charge is very heavy,,b
I am not satisfy with that . Charge is very heavy . Very good and popular in Bangladesh . It's really amazing.,,b
It's really amazing. I am satisfy with their service.It's provide very cool service,,b
"Service charge is so high, I think bkash is exploiting people.",,b
It's a very good service as a mobile financual service,,b
Good and very useful. ,,b
"service is good, security is good, availability is good and service charge is much.",,b
"In the Bkash customer service, security, and also service charge are not satisfied me. Especially, here poor security and too much charges. ",,b
"Bkash is the significant medium of transaction at present time.But,it's service charge make us insatisfied.Compared to other transaction medium,it's too much costable.Besides,it's insecure.",,b
My mobile bKash service is varey good system ,,b
My used is bKash  service  is varey good ,,b
The cash out rate is very high,,b
It's really mazing . Fatastic service the provide.,,b
Amazing Service they provide.Cool happy with their service.,,b
Excellent service  they provide.i am really happy with their service.,,b
"Their Security is need to be strong. Like rocket as per my opinion, they can use extra digit like rocket.   ",,b
It cut tomuch money to retrieve cash,,b
Yes but it charges too much,,b
service charge they takes high. security is good,,b
Should be more secure ,,b
It is much more comfortable.,,b
Is good,,b
service charge is very high.,,b
It is good services organization. but I think some problem have this system.First one cut money then no secure .  recently many people problem face to secure system. ,,b
"Yes i have some issue customer service, need to rapidl, and must be reduce service charge, including every thousands charge should be under 10 tk.        ",,b
I think it's good for everyone because everyone used it. ,,b
Good but cash out rate is high. ,,b
Service charge is more.  ,,b
I have no experience.,,b
Easy to use and if user is aware then security is so far good.  ,,b
"It's too much good,I think.",,b
"Customer service and availability of Bkash is good. Security seems good to me but sometimes some scammers try to create some problems which is a big concern. Also service charge is too much. In other countries, service charges are less even the new growing Nagad is charging less than Bkash. They should take this under consideration as they have a lot of users and try to reduce the service charges.",,b
It's good. But sometimes they shut down services for verification purpose. which feel harassment  ,,b
It is very much effective  ,,b
Service search should be reduce ,,b
Bkash has good service overall. But their transaction charge is way too high. Also their security is not up to standard.,,b
Overall bikash is best till now,,b
"I thing security purpose is good.
but the main issue is charge. what a charge! they cut the charge just shameful attitude.
Most of the time we are using bkash. it is really easy for us if they cut rate our money charge so that it will better for use.",,b
Its too much coast for cashout.it should be under 10tk cost for thousand.,,b
No,,b
yes,,b
It's excellent for availability and usaBility but in terms of security hack they are not susceptible to theft.,,b
One of the best MFS services in bangladesh right now. Secured and user friendly.,,b
service charge is high,,b
Yeah its not efficiency impress me ,,b
Security not so strong,,b
"Bkash availability is more than any other MFS in Bangladesh, but secuirity is the main concern here. Mass people faces fraudulent issue via bkash most of the time.",,b
good.Bkash availability is more than any other MFS in Bangladesh,,b
very satisfy . Bkash availability is more than any other MFS in Bangladesh,,b
Not good.service is take more .Very bad use experience.,,b
Good.Bkash availability is more than any other MFS in Bangladesh,,b
I don't know ,,b
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,b
Not applicable,,b
It's also,,n
I have no idea about this.,,n
"service is good, security is good, availability is good .",,n
Service charge is high. ,,n
Rocket is better than Bkash. It takes less charge compared to Bkash.It's secured.,,n
My Mobile  Service  Rocket no Abol Abol so rocket service no varey good ,,n
Rocker  service is not Abol Abol so Rocket service is varey bad,,n
Cash out charge is very high,,n
It's good . I am satisfy with that.,,n
It's good . I am satisfy with that.,,n
Excellent service ,,n
I am satisfied  ,,n
It cut tomuch money to retrieve cash,,n
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,n
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,n
Very Good service but I think cashout charge should be less.For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,n
It is also comfortable.,,n
Is good.It's good . I am satisfy with that.,,n
I don't use ,,n
Rocket is good services in our country. personally I like to this services.   ,,n
I have no recommend ,,n
"Along with development, rocket are now very popular because we can withdraw money from any Dutch Bangla Bank booth.",,n
I don't no.For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,n
Very good service but I think cashout charge should be less.,,n
It's good . I am satisfy with that.,,n
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,n
Personally I think it's not bad.,,n
I don't use rocket.,,n
it's not as good services as bkash,,n
user friendly .For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,r
Should be more availability,,r
I haven't used it,,r
"It's good.Quick, descent, customer service  so much good  ",,r
I thing it is more comfortable use than bkash,,r
I am not using Rocket.It is bad service provide,,r
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,r
"Quick, descent, customer service not so much.",,r
"Quick, descent, customer service not so much.",,r
"I don't think it is better than bkash. Maybe I should sometime, to get the first hand experience.",,r
service charge is high.For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,r
Marketing is not good enough and its booth of service is not available everywhere ,,r
Security not so strong,,r
Service is good. Security and service charge is better than any other MFS in BD. Also available almost everywhere and easier to make transaction from ATM.,,r
"It's in average,I think.",,r
"I am new to this service but it looks great. As it is new, it's availability is less. Security wise it seems good. Service charges are less than any other MFS of Bangladesh. But yes if they can reduce the charges then it would be better for the users also it will be a big blow to other service providers.",,r
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,r
Now a days it is also available almost everywhere.,,r
Service charge is good.For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,r
I haven't used it.For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,r
Its not popular but it wil be,,u
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,u
Now a days it is also available almost everywhere.. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,u
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,u
For some initial process i find it confusing. Other financial service  .   Now a days it is also available almost everywhere.,,u
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,u
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,u
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,u
Dont know about it.It's good . I am satisfy with that.,,u
Good initiative.It's good . I am satisfy with that.,,u
Service and service charge is good from customer point of view. Now a days it is also available almost everywhere.,,u
For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,,u
